title,author,source,notes
Fourth Wing,Rebecca Yarros,Goodreads,High popularity
Iron Flame,Rebecca Yarros,Amazon,Sequel trending
A Court of Thorns and Roses,Sarah J. Maas,Goodreads,Strong fanbase
The Priory of the Orange Tree,Samantha Shannon,Goodreads,High rating
Dune,Frank Herbert,Classic,Already adapted
The Name of the Wind,Patrick Rothfuss,Goodreads,Highly requested
The Poppy War,R.F. Kuang,Amazon,Dark fantasy rising
Mistborn,Brandon Sanderson,Goodreads,Popular series
Shadow and Bone,Leigh Bardugo,Netflix tie-in,Proven adaptation
The Atlas Six,Olivie Blake,Goodreads,Recent viral
