title,author,source,notes,published_date,description,categories,average_rating,ratings_count,page_count,source_theme,collection_method,published_year,theme_priority_score,ratings_count_log,ratings_count_score,average_rating_score,publication_recency_score,public_signal_score,public_signal_score_norm,title_opportunity_score
The Name of the Wind,Patrick Rothfuss,Goodreads,Highly requested,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,4,1.0,0.63
Fourth Wing,Rebecca Yarros,Goodreads,High popularity,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,2,0.5,0.505
Iron Flame,Rebecca Yarros,Amazon,Sequel trending,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,2,0.5,0.505
The Priory of the Orange Tree,Samantha Shannon,Goodreads,High rating,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,2,0.5,0.505
A Court of Thorns and Roses,Sarah J. Maas,Goodreads,Strong fanbase,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,1,0.25,0.4425
Dune,Frank Herbert,Classic,Already adapted,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,1,0.25,0.4425
Shadow and Bone,Leigh Bardugo,Netflix tie-in,Proven adaptation,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,1,0.25,0.4425
The Atlas Six,Olivie Blake,Goodreads,Recent viral,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,1,0.25,0.4425
The Poppy War,R.F. Kuang,Amazon,Dark fantasy rising,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,0,0.0,0.38
Mistborn,Brandon Sanderson,Goodreads,Popular series,,,fantasy books,,0,,fantasy books,fallback_curated_public_sources,,0.95,0.0,0.0,0.0,0.0,0,0.0,0.38
