"Time","fantasy books","science fiction books","dystopian books","historical fiction books","horror books"
"2025-05-04",66,10,10,17,25
"2025-05-11",64,9,10,16,28
"2025-05-18",62,8,9,19,25
"2025-05-25",66,10,10,18,29
"2025-06-01",66,10,8,17,28
"2025-06-08",67,8,8,18,26
"2025-06-15",68,10,9,20,29
"2025-06-22",69,9,7,17,27
"2025-06-29",63,9,9,18,27
"2025-07-06",70,8,9,19,27
"2025-07-13",70,13,6,15,31
"2025-07-20",71,14,6,16,29
"2025-07-27",87,24,7,15,31
"2025-08-03",72,10,6,18,32
"2025-08-10",76,12,8,17,35
"2025-08-17",77,11,10,20,37
"2025-08-24",81,12,10,18,39
"2025-08-31",70,14,11,19,38
"2025-09-07",64,11,10,17,35
"2025-09-14",66,12,10,16,37
"2025-09-21",72,12,10,17,40
"2025-09-28",64,10,7,16,39
"2025-10-05",66,11,10,15,42
"2025-10-12",66,10,11,17,40
"2025-10-19",70,10,11,18,44
"2025-10-26",66,12,11,19,40
"2025-11-02",79,13,10,21,32
"2025-11-09",81,16,12,21,30
"2025-11-16",82,13,10,22,34
"2025-11-23",94,12,8,17,31
"2025-11-30",98,16,13,21,37
"2025-12-07",95,16,10,23,33
"2025-12-14",100,19,11,24,36
"2025-12-21",95,15,11,22,34
"2025-12-28",98,16,11,24,36
"2026-01-04",92,16,15,26,36
"2026-01-11",87,17,13,25,35
"2026-01-18",93,18,11,26,34
"2026-01-25",96,26,14,26,34
"2026-02-01",93,30,12,34,37
"2026-02-08",84,21,10,26,35
"2026-02-15",89,23,12,23,36
"2026-02-22",84,22,11,22,31
"2026-03-01",86,15,11,23,34
"2026-03-08",88,15,12,21,31
"2026-03-15",88,19,12,22,32
"2026-03-22",84,17,11,23,32
"2026-03-29",83,17,12,20,36
"2026-04-05",79,16,11,24,33
"2026-04-12",76,14,13,19,30
"2026-04-19",63,10,11,15,27
"2026-04-26",64,10,10,18,28
